Facility Name,City,State,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison
ST ELIZABETH HOSPITAL,APPLETON,WI,(920) 738-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
LAKEVIEW MEDICAL CENTER OF RICE LAKE,RICE LAKE,WI,(715) 234-1515,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average
SACRED HEART HOSPITAL,EAU CLAIRE,WI,(715) 717-4121,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
ST JOSEPH'S HOSPITAL,CHIPPEWA FALLS,WI,(715) 717-7200,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
MINISTRY SAINT MARYS HOSPITAL,RHINELANDER,WI,(715) 361-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
UNITED HOSPITAL SYSTEM,KENOSHA,WI,(262) 656-2011,Acute Care Hospitals,Government - Local,Yes,3,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
COLUMBIA ST MARYS HOSPITAL OZAUKEE,MEQUON,WI,(414) 585-1374,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
THE MONROE CLINIC,MONROE,WI,(608) 324-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average
ASPIRUS WAUSAU HOSPITAL,WAUSAU,WI,(715) 847-2121,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average
ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC,WISCONSIN RAPIDS,WI,(715) 423-6060,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
AURORA MEDICAL CTR MANITOWOC COUNTY,TWO RIVERS,WI,(920) 794-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
AURORA SHEBOYGAN MEMORIAL MEDICAL CTR,SHEBOYGAN,WI,(920) 451-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
MARSHFIELD MEDICAL CENTER,MARSHFIELD,WI,(715) 387-7850,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
AURORA MEDICAL CTR WASHINGTON COUNTY,HARTFORD,WI,(262) 673-2300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
DIVINE SAVIOR HEALTHCARE,PORTAGE,WI,(608) 742-4131,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
ST NICHOLAS HOSPITAL,SHEBOYGAN,WI,(920) 459-8300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
THEDACARE REGIONAL MED CTR - NEENAH,NEENAH,WI,(920) 729-3100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
BELLIN MEMORIAL HOSPITAL,GREEN BAY,WI,(920) 433-3500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
ASCENSION COLUMBIA ST MARY'S HOSPITAL MILWAUKEE,MILWAUKEE,WI,(414) 585-1374,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
SSM HEALTH ST CLARE HOSPITAL - BARABOO,BARABOO,WI,(608) 356-1400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
AURORA MEMORIAL HOSPITAL BURLINGTON,BURLINGTON,WI,(262) 767-6545,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
OCONOMOWOC MEMORIAL HOSPITAL,OCONOMOWOC,WI,(262) 569-9400,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
ST JOSEPHS COMMUNITY HOSPITAL WEST BEND,WEST BEND,WI,(262) 334-5533,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
MERCY HEALTH SYSTEM CORP,JANESVILLE,WI,(608) 756-6080,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,EAU CLAIRE,WI,(715) 838-3311,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
FORT MEMORIAL HOSPITAL,FORT ATKINSON,WI,(920) 568-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average
ST VINCENT HOSPITAL,GREEN BAY,WI,(920) 433-0111,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
BEAVER DAM COMMUNITY HOSPITAL DBA MARSHFIELD MEDICAL CENTER - BEAVER DAM,BEAVER DAM,WI,(920) 887-7181,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
WHEATON FRANCISCAN HEALTHCARE ST FRANCIS,MILWAUKEE,WI,(414) 647-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
SSM HEALTH ST MARY'S HOSPITAL - MADISON,MADISON,WI,(608) 251-6100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
GUNDERSEN LUTHERAN MEDICAL CENTER,LA CROSSE,WI,(608) 782-7300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average
ST AGNES HOSPITAL,FOND DU LAC,WI,(920) 929-2300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average
MERITER HOSPITAL,MADISON,WI,(608) 417-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
HOWARD YOUNG MEDICAL CENTER,WOODRUFF,WI,(715) 356-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
SAUK PRAIRIE HOSPITAL,PRAIRIE DU SAC,WI,(608) 643-3311,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
WHEATON FRANCISCAN HEALTHCARE ALL SAINTS,RACINE,WI,(262) 687-4011,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
ST MARY'S HOSPITAL MEDICAL CENTER,GREEN BAY,WI,(920) 498-4200,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,MADISON,WI,(608) 261-0025,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
BELOIT HEALTH SYSTEM,BELOIT,WI,(608) 364-5011,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
AURORA LAKELAND MEDICAL CENTER,ELKHORN,WI,(262) 741-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
COMMUNITY MEMORIAL HOSPITAL,MENOMONEE FALLS,WI,(262) 251-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
HOLY FAMILY MEMORIAL,MANITOWOC,WI,(920) 320-2011,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
MILE BLUFF MEDICAL CENTER,MAUSTON,WI,(608) 847-6161,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
BAY AREA MEDICAL CENTER,MARINETTE,WI,(715) 735-4200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
WATERTOWN MEMORIAL HOSPITAL,WATERTOWN,WI,(920) 261-4210,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
WHEATON FRANCISCAN ST JOSEPH,MILWAUKEE,WI,(414) 447-2130,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average
AURORA ST LUKES MEDICAL CENTER,MILWAUKEE,WI,(414) 649-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average
WEST ALLIS MEMORIAL HOSPITAL,WEST ALLIS,WI,(414) 328-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,APPLETON,WI,(920) 731-4101,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
FROEDTERT MEMORIAL LUTHERAN HOSPITAL,MILWAUKEE,WI,(414) 805-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
AURORA MEDICAL CENTER KENOSHA,KENOSHA,WI,(262) 948-5600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
AURORA BAYCARE MEDICAL CTR,GREEN BAY,WI,(920) 288-8000,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
ORTHOPAEDIC HOSPITAL OF WI,GLENDALE,WI,(414) 961-6800,Acute Care Hospitals,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
OAKLEAF SURGICAL HOSPITAL,ALTOONA,WI,(715) 831-8130,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
AURORA MEDICAL CTR OSHKOSH,OSHKOSH,WI,(920) 456-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Above the national average
ASCENSION ST CLARES HOSPITAL,WESTON,WI,(715) 393-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,FRANKLIN,WI,(414) 817-5800,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
AURORA MEDICAL CENTER - SUMMIT,SUMMIT,WI,(262) 434-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
AURORA MEDICAL CENTER - GRAFTON,GRAFTON,WI,(262) 329-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,JANESVILLE,WI,(608) 373-8000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
MARSHFIELD MEDICAL CENTER - EAU CLAIRE,EAU CLAIRE,WI,(715) 858-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MINISTRY EAGLE RIVER MEMORIAL HOSPITAL,EAGLE RIVER,WI,(715) 479-7411,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average
MAYO CLINIC HEALTH SYSTEM OAKRIDGE,OSSEO,WI,(715) 597-3121,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
THEDACARE MEDICAL CENTER - WILD ROSE,WILD ROSE,WI,(920) 622-3257,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GUNDERSEN ST JOSEPHS HOSPITAL AND CLINICS,HILLSBORO,WI,(608) 489-8000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
MAYO CLINIC HLTH SYSTM FRANCISCAN HLTHCARE SPARTA,SPARTA,WI,(608) 269-2132,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHIPPEWA VALLEY HOSPITAL,DURAND,WI,(715) 672-4211,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
AMERY HOSPITAL & CLINIC,AMERY,WI,(715) 268-0300,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
MOUNDVIEW MEMORIAL HOSPITAL AND CLINICS,FRIENDSHIP,WI,(608) 339-3331,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HSHS ST CLARE MEMORIAL HOSPITAL,OCONTO FALLS,WI,(920) 846-3444,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average
OUR LADY OF VICTORY HOSPITAL,STANLEY,WI,(715) 644-5571,Critical Access Hospitals,Voluntary non-profit - Other,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average
MEMORIAL HOSPITAL OF LAFAYETTE COUNTY,DARLINGTON,WI,(608) 776-4466,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
ASCENSION SACRED HEART HOSPITAL,TOMAHAWK,WI,(715) 453-7700,Critical Access Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average
MAYO CLINIC HEALTH SYSTEM CHIPPEWA VALLEY,BLOOMER,WI,(715) 568-2000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
MAYO CLINIC HEALTH SYSTEM-NORTHLAND,BARRON,WI,(715) 537-3186,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average
GUNDERSEN TRI-COUNTY HOSPITAL & CLINICS,WHITEHALL,WI,(715) 538-4361,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CALUMET MEDICAL CENTER,CHILTON,WI,(920) 849-2386,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
LADD MEMORIAL HOSPITAL,OSCEOLA,WI,(715) 294-2111,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available
EDGERTON HOSPITAL AND HEALTH SERVICES,EDGERTON,WI,(608) 884-3441,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TOMAH MEMORIAL HOSPITAL,TOMAH,WI,(608) 372-2181,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average
RIPON MEDICAL CENTER,RIPON,WI,(920) 748-3101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average
GRANT REGIONAL HEALTH CENTER,LANCASTER,WI,(608) 723-2143,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average
MARSHFIELD MEDICAL CENTER - NEILLSVILLE,NEILLSVILLE,WI,(715) 743-3101,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC",MEDFORD,WI,(715) 748-8100,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
FLAMBEAU HOSPITAL,PARK FALLS,WI,(715) 762-7500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
THEDACARE MEDICAL CENTER - NEW LONDON,NEW LONDON,WI,(920) 531-2000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Above the national average,Same as the national average,Same as the national average
WAUPUN MEMORIAL HOSPITAL,WAUPUN,WI,(920) 324-6512,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
MARSHFIELD MEDICAL CENTER - LADYSMITH,LADYSMITH,WI,(715) 532-5561,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
ST MARYS HOSPITAL SUPERIOR,SUPERIOR,WI,(715) 817-7000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available
CROSSING RIVERS HEALTH MEDICAL CENTER,PRAIRIE DU CHIEN,WI,(608) 357-2000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Below the national average,Above the national average,Not Available
BURNETT MEDICAL CENTER INC,GRANTSBURG,WI,(715) 463-5353,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
SPOONER HEALTH SYSTEM,SPOONER,WI,(715) 635-2111,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available
BLACK RIVER MEMORIAL HOSPITAL,BLACK RIVER FALLS,WI,(715) 284-5361,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
THEDACARE MEDICAL CENTER-WAUPACA,WAUPACA,WI,(715) 258-1000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
HUDSON HOSPITAL,HUDSON,WI,(715) 531-6000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Not Available,Above the national average,Above the national average,Same as the national average
HAYWARD AREA MEMORIAL HOSPITAL,HAYWARD,WI,(715) 934-4321,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
ST CROIX REGIONAL MEDICAL CTR,SAINT CROIX FALLS,WI,(715) 483-0556,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
COLUMBUS COMMUNITY HOSPITAL,COLUMBUS,WI,(920) 623-2200,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
MINISTRY GOOD SAMARITAN HEALTH CTR,MERRILL,WI,(715) 536-5511,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4,Not Available,Not Available,Above the national average,Not Available,Same as the national average
MAYO CLINIC HEALTH SYSTEM-RED CEDAR INC,MENOMONIE,WI,(715) 235-5531,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
RICHLAND HOSPITAL,RICHLAND CENTER,WI,(608) 647-6321,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
INDIANHEAD MEDICAL CTR,SHELL LAKE,WI,(715) 468-7833,Critical Access Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Below the national average,Not Available,Not Available
STOUGHTON HOSPITAL,STOUGHTON,WI,(608) 873-6611,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Not Available,Above the national average,Above the national average,Not Available
GUNDERSEN BOSCOBEL AREA HOSPITAL AND CLINICS,BOSCOBEL,WI,(608) 375-4112,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WESTFIELDS HOSPITAL AND CLINIC,NEW RICHMOND,WI,(715) 243-2600,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average
THEDACARE MEDICAL CENTER - SHAWANO,SHAWANO,WI,(715) 526-2111,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
WESTERN WISCONSIN HEALTH,BALDWIN,WI,(715) 684-1111,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Not Available,Same as the national average,Above the national average,Not Available
VERNON MEMORIAL HOSPITAL,VIROQUA,WI,(608) 637-2101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average
RIVER FALLS AREA HOSPITAL,RIVER FALLS,WI,(715) 307-6000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
LANGLADE HOSPITAL,ANTIGO,WI,(715) 623-2331,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available
REEDSBURG AREA MEDICAL CENTER,REEDSBURG,WI,(608) 524-6487,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average
UPLAND HILLS HEALTH,DODGEVILLE,WI,(608) 930-8000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average
CUMBERLAND MEMORIAL HOSPITAL,CUMBERLAND,WI,(715) 822-7500,Critical Access Hospitals,Voluntary non-profit - Other,Yes,3,Not Available,Not Available,Below the national average,Not Available,Not Available
SOUTHWEST HEALTH CENTER,PLATTEVILLE,WI,(608) 348-2331,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Not Available,Above the national average,Above the national average,Not Available
BERLIN MEMORIAL HOSPITAL,BERLIN,WI,(920) 361-1313,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
BELLIN HEALTH OCONTO HOSPITAL,OCONTO,WI,(920) 835-1101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
MERCY WALWORTH HOSPITAL & MEDICAL CENTER,LAKE GENEVA,WI,(262) 245-0535,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
MINISTRY DOOR COUNTY MEDICAL CENTER,STURGEON BAY,WI,(920) 743-5566,Critical Access Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Not Available
MEMORIAL MEDICAL CENTER,ASHLAND,WI,(715) 685-5500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
CHILDRENS HOSPITAL OF WISCONSIN,MILWAUKEE,WI,(414) 266-2000,Childrens,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHILDRENS HOSPITAL OF WISCONSIN FOX VALLEY,NEENAH,WI,(920) 969-7900,Childrens,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AURORA PSYCHIATRIC HOSPITAL,WAUWATOSA,WI,(414) 454-6600,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MILWAUKEE COUNTY BEHAVIORAL HEALTH DIVISION,MILWAUKEE,WI,(414) 257-5202,Psychiatric,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WINNEBAGO MENTAL HEALTH INSTITUTE,WINNEBAGO,WI,(920) 235-4910,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MENDOTA MENTAL HEALTH INSTITUTE,MADISON,WI,(608) 301-1000,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BROWN COUNTY COMMUNITY TREATMENT CTR,GREEN BAY,WI,(920) 391-4700,Psychiatric,Government - Local,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NORTH CENTRAL HEALTH CARE,WAUSAU,WI,(715) 848-4600,Psychiatric,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ROGERS MEMORIAL HOSPITAL,OCONOMOWOC,WI,(262) 646-4411,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NORWOOD HEALTH CENTER,MARSHFIELD,WI,(715) 384-2188,Psychiatric,Government - Local,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FOND DU LAC COUNTY ACUTE PSYCH UNIT,FOND DU LAC,WI,(920) 929-3500,Psychiatric,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WAUKESHA COUNTY MENTAL HEALTH CTR,WAUKESHA,WI,(262) 548-7950,Psychiatric,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BELLIN PSYCHIATRIC CENTER,GREEN BAY,WI,(920) 433-3630,Psychiatric,Voluntary non-profit - Church,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WILLOW CREEK BEHAVIORAL HEALTH,GREEN BAY,WI,(901) 328-1220,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CAMPBELL COUNTY HEALTH,GILLETTE,WY,(307) 688-1551,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
SHERIDAN MEMORIAL HOSPITAL,SHERIDAN,WY,(307) 672-1044,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
